"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"Felton CDP, California",NA,"3,582",NA,"3,582","786.9","4.55",NA,"$95,260",NA,"$110,833",NA,"0.4",NA,"1,772",NA,"648","559","38","31","20","0",NA,"$512,400",NA,"$1,263",NA,"25.70%",NA,"22.20%","26.70%","15.80%",NA,"295","71","0","8","63","0","0","0","0","46","0","23","23","50","22","0","28","121","50","59","12","0","7",NA,"36",NA,"1,150",NA,NA,NA
"X113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.30%","5.90%","4.80%","3.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.10%","0.00%","2.70%","21.40%","0.00%","0.00%","0.00%","0.00%","15.60%","0.00%","7.80%","7.80%","17.00%","7.50%","0.00%","9.50%","41.00%","17.00%","20.00%","4.10%","0.00%","2.40%",NA,NA,NA,NA,NA,NA,NA
"Foster City city, California",NA,"32,967",NA,"32,967","8,776.50","3.76",NA,"$129,733",NA,"$143,326",NA,"0.4",NA,"13,450",NA,"13,128","3,733","1,751","7,644","0","0",NA,"$949,900",NA,"$2,535",NA,"25.70%",NA,"22.10%","25.80%","11.30%",NA,"5,460","320","23","19","278","313","0","12","301","214","0","0","214","365","11","75","279","4,122","1,735","1,584","803","18","108",NA,"30",NA,"7,446",NA,NA,NA
"X115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.40%","13.30%","58.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.90%","0.40%","0.40%","5.10%","5.70%","0.00%","0.20%","5.50%","3.90%","0.00%","0.00%","3.90%","6.70%","0.20%","1.40%","5.10%","75.50%","31.80%","29.00%","14.70%","0.30%","2.00%",NA,NA,NA,NA,NA,NA,NA
"Fremont city, California",NA,"227,934",NA,"227,934","2,942.60","77.46",NA,"$111,613",NA,"$122,328",NA,"0.4",NA,"75,875",NA,"85,349","40,462","4,387","40,356","144","0",NA,"$702,800",NA,"$1,868",NA,"26.30%",NA,"20.40%","23.00%","10.00%",NA,"28,007","2,134","0","130","2,004","2,462","58","83","2,321","2,406","85","212","2,109","3,836","117","983","2,736","16,292","7,425","6,964","1,903","297","580",NA,"33",NA,"44,986",NA,NA,NA
"X117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.40%","5.10%","47.30%","0.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.60%","0.00%","0.50%","7.20%","8.80%","0.20%","0.30%","8.30%","8.60%","0.30%","0.80%","7.50%","13.70%","0.40%","3.50%","9.80%","58.20%","26.50%","24.90%","6.80%","1.10%","2.10%",NA,NA,NA,NA,NA,NA,NA
"Fruitdale CDP, California",NA,"868",NA,"868","3,226.30","0.27",NA,"$77,969",NA,"$143,636",NA,"0.47",NA,"394",NA,"271","163","29","79","0","0",NA,"$678,200",NA,"$1,031",NA,"33.20%",NA,"25.60%","27.40%","16.10%",NA,"147","26","0","9","17","43","0","0","43","8","0","0","8","21","0","0","21","42","7","35","0","0","7",NA,"22",NA,"201",NA,NA,NA
"X119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.20%","10.70%","29.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.70%","0.00%","6.10%","11.60%","29.30%","0.00%","0.00%","29.30%","5.40%","0.00%","0.00%","5.40%","14.30%","0.00%","0.00%","14.30%","28.60%","4.80%","23.80%","0.00%","0.00%","4.80%",NA,NA,NA,NA,NA,NA,NA
"Fulton CDP, California",NA,"632",NA,"632","324.3","1.95",NA,NA,NA,NA,NA,"0.45",NA,"214",NA,"254","254","0","0","0","0",NA,"$498,100",NA,"$881",NA,"50.00%",NA,"27.60%","27.60%",NA,NA,"75","40","0","0","40","14","0","0","14","11","0","0","11","0","0","0","0","0","0","0","0","0","10",NA,"21",NA,"139",NA,NA,NA
"X121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.30%","0.00%","0.00%","53.30%","18.70%","0.00%","0.00%","18.70%","14.70%","0.00%","0.00%","14.70%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","13.30%",NA,NA,NA,NA,NA,NA,NA
"Gilroy city, California",NA,"52,576",NA,"52,576","3,256.20","16.15",NA,"$84,351",NA,"$88,413",NA,"0.43",NA,"15,802",NA,"24,013","10,098","6,293","7,380","242","0",NA,"$528,700",NA,"$1,521",NA,"37.60%",NA,"22.80%","25.50%","10.10%",NA,"6,541","1,151","5","95","1,051","1,424","55","160","1,209","823","80","56","687","968","42","282","644","1,971","1,009","643","319","60","144",NA,"33",NA,"8,845",NA,NA,NA
"X123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.10%","26.20%","30.70%","1.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.60%","0.10%","1.50%","16.10%","21.80%","0.80%","2.50%","18.50%","12.60%","1.20%","0.90%","10.50%","14.80%","0.60%","4.30%","9.90%","30.10%","15.40%","9.80%","4.90%","0.90%","2.20%",NA,NA,NA,NA,NA,NA,NA
"Half Moon Bay city, California",NA,"12,281",NA,"12,281","1,911.60","6.42",NA,"$106,211",NA,"$109,167",NA,"0.5",NA,"5,487",NA,"4,018","2,691","604","716","7","0",NA,"$774,000",NA,"$2,032",NA,"29.30%",NA,"20.10%","22.00%","13.90%",NA,"1,412","233","23","23","187","120","0","52","68","153","0","29","124","155","30","49","76","737","255","264","218","0","14",NA,"30",NA,"3,521",NA,NA,NA
"X125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.00%","15.00%","17.80%","0.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.50%","1.60%","1.60%","13.20%","8.50%","0.00%","3.70%","4.80%","10.80%","0.00%","2.10%","8.80%","11.00%","2.10%","3.50%","5.40%","52.20%","18.10%","18.70%","15.40%","0.00%","1.00%",NA,NA,NA,NA,NA,NA,NA
"Hayward city, California",NA,"154,507",NA,"154,507","3,409.00","45.32",NA,"$68,138",NA,"$73,165",NA,"0.43",NA,"48,263",NA,"73,049","27,911","8,949","35,468","721","0",NA,"$404,500",NA,"$1,417",NA,"33.60%",NA,"22.60%","26.00%","10.30%",NA,"22,874","3,966","33","285","3,648","3,255","41","118","3,096","3,399","49","488","2,862","4,963","722","2,025","2,216","6,431","3,412","2,218","801","286","574",NA,"32",NA,"23,798",NA,NA,NA
"X127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.20%","12.30%","48.60%","1.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.30%","0.10%","1.30%","16.00%","14.20%","0.20%","0.50%","13.50%","14.90%","0.20%","2.10%","12.50%","21.70%","3.20%","8.90%","9.70%","28.10%","14.90%","9.70%","3.50%","1.30%","2.50%",NA,NA,NA,NA,NA,NA,NA
"Hercules city, California",NA,"25,011",NA,"25,011","4,030.50","6.21",NA,"$103,044",NA,"$114,521",NA,"0.36",NA,"8,338",NA,"5,404","3,517","489","1,391","7","0",NA,"$422,200",NA,"$1,693",NA,"31.20%",NA,"24.40%","26.70%","10.00%",NA,"1,719","251","0","21","230","270","8","21","241","187","0","21","166","233","11","137","85","748","278","291","179","0","30",NA,"41",NA,"6,430",NA,NA,NA
"X129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.10%","9.10%","25.70%","0.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.60%","0.00%","1.20%","13.40%","15.70%","0.50%","1.20%","14.00%","10.90%","0.00%","1.20%","9.70%","13.60%","0.60%","8.00%","4.90%","43.50%","16.20%","16.90%","10.40%","0.00%","1.80%",NA,NA,NA,NA,NA,NA,NA
"Highlands-Baywood Park CDP, California",NA,"4,261",NA,"4,261","2,357.40","1.81",NA,"$162,552",NA,"$191,442",NA,"0.42",NA,"1,524",NA,"443","212","29","202","0","0",NA,"$1,184,000",NA,"$2,007",NA,"20.70%",NA,"21.30%","24.70%","10.00%",NA,"224","0","0","0","0","25","0","0","25","6","0","0","6","16","0","0","16","157","95","54","8","0","20",NA,"27",NA,"1,270",NA,NA,NA
"X131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.90%","6.60%","45.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","11.20%","0.00%","0.00%","11.20%","2.70%","0.00%","0.00%","2.70%","7.10%","0.00%","0.00%","7.10%","70.10%","42.40%","24.10%","3.60%","0.00%","8.90%",NA,NA,NA,NA,NA,NA,NA
"Hillsborough town, California",NA,"11,312",NA,"11,312","1,827.60","6.19",NA,"$216,292",NA,"$233,424",NA,"0.5",NA,"4,187",NA,"823","683","73","67","0","0",NA,"$2,000,001",NA,"$2,483",NA,"14.10%",NA,"22.20%","27.10%","13.30%",NA,"295","0","0","0","0","23","0","0","23","0","0","0","0","13","0","0","13","181","147","23","11","0","78",NA,"28",NA,"3,410",NA,NA,NA
"X133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.00%","8.90%","8.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","7.80%","0.00%","0.00%","7.80%","0.00%","0.00%","0.00%","0.00%","4.40%","0.00%","0.00%","4.40%","61.40%","49.80%","7.80%","3.70%","0.00%","26.40%",NA,NA,NA,NA,NA,NA,NA
"Interlaken CDP, California",NA,"6,738",NA,"6,738","687.2","9.81",NA,"$63,409",NA,"$68,125",NA,"0.45",NA,"1,802",NA,"2,371","1,884","330","34","123","0",NA,"$397,600",NA,"$1,488",NA,"41.70%",NA,"27.20%","30.30%","10.50%",NA,"575","42","0","0","42","109","0","0","109","106","0","0","106","170","23","14","133","125","86","30","9","0","23",NA,"24",NA,"1,185",NA,NA,NA
"X135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.50%","13.90%","1.40%","5.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.30%","0.00%","0.00%","7.30%","19.00%","0.00%","0.00%","19.00%","18.40%","0.00%","0.00%","18.40%","29.60%","4.00%","2.40%","23.10%","21.70%","15.00%","5.20%","1.60%","0.00%","4.00%",NA,NA,NA,NA,NA,NA,NA
"Kensington CDP, California",NA,"5,602",NA,"5,602","5,914.30","0.95",NA,"$140,690",NA,"$154,833",NA,"0.45",NA,"2,385",NA,"781","711","26","44","0","0",NA,"$805,200",NA,"$1,994",NA,"23.10%",NA,"18.30%","24.00%","10.00%",NA,"328","23","0","0","23","70","0","17","53","16","0","0","16","18","7","6","5","183","111","54","18","7","11",NA,"36",NA,"2,004",NA,NA,NA
"X137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.00%","3.30%","5.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.00%","0.00%","0.00%","7.00%","21.30%","0.00%","5.20%","16.20%","4.90%","0.00%","0.00%","4.90%","5.50%","2.10%","1.80%","1.50%","55.80%","33.80%","16.50%","5.50%","2.10%","3.40%",NA,NA,NA,NA,NA,NA,NA
"Kentfield CDP, California",NA,"6,907",NA,"6,907","2,283.10","3.03",NA,"$176,736",NA,"$245,694",NA,"0.54",NA,"2,814",NA,"1,250","716","218","316","0","0",NA,"$1,685,800",NA,"$1,602",NA,"25.20%",NA,"19.60%","25.20%","10.00%",NA,"632","67","0","19","48","49","0","0","49","91","0","34","57","117","10","49","58","288","115","149","24","0","20",NA,"30",NA,"2,031",NA,NA,NA
"X139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.30%","17.40%","25.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.60%","0.00%","3.00%","7.60%","7.80%","0.00%","0.00%","7.80%","14.40%","0.00%","5.40%","9.00%","18.50%","1.60%","7.80%","9.20%","45.60%","18.20%","23.60%","3.80%","0.00%","3.20%",NA,NA,NA,NA,NA,NA,NA
"Knightsen CDP, California",NA,"1,606",NA,"1,606","192","8.37",NA,"$95,000",NA,"$97,222",NA,"0.37",NA,"562",NA,"429","375","0","0","54","0",NA,"$594,000",NA,"$1,409",NA,"48.20%",NA,"21.80%","24.50%","10.00%",NA,"109","36","0","0","36","5","0","0","5","43","0","19","24","0","0","0","0","20","5","0","15","0","5",NA,"47",NA,"391",NA,NA,NA
"X141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.40%","0.00%","0.00%","12.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.00%","0.00%","0.00%","33.00%","4.60%","0.00%","0.00%","4.60%","39.50%","0.00%","17.40%","22.00%","0.00%","0.00%","0.00%","0.00%","18.40%","4.60%","0.00%","13.80%","0.00%","4.60%",NA,NA,NA,NA,NA,NA,NA
"Ladera CDP, California",NA,"1,514",NA,"1,514","3,420.70","0.44",NA,"$250,001",NA,"$250,001",NA,"0.44",NA,"531",NA,"0","0","0","0","0","0",NA,"$2,000,001",NA,NA,NA,NA,NA,"16.00%","19.90%","10.00%",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"30",NA,"500",NA,NA,NA
"X143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lafayette city, California",NA,"25,381",NA,"25,381","1,667.50","15.22",NA,"$142,977",NA,"$184,101",NA,"0.49",NA,"9,930",NA,"6,509","3,108","1,016","2,385","0","0",NA,"$1,127,400",NA,"$1,816",NA,"27.90%",NA,"19.00%","23.10%","10.00%",NA,"2,595","412","0","62","350","181","19","0","162","420","50","127","243","276","10","74","192","1,228","566","475","187","31","47",NA,"31",NA,"6,870",NA,NA,NA
"X145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.80%","15.60%","36.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.90%","0.00%","2.40%","13.50%","7.00%","0.70%","0.00%","6.20%","16.20%","1.90%","4.90%","9.40%","10.60%","0.40%","2.90%","7.40%","47.30%","21.80%","18.30%","7.20%","1.20%","1.80%",NA,NA,NA,NA,NA,NA,NA
"La Honda CDP, California",NA,"518",NA,"518","122","4.25",NA,NA,NA,NA,NA,"0.45",NA,"363",NA,"164","134","30","0","0","0",NA,"$610,100",NA,"$1,574",NA,"50.00%",NA,"14.00%","15.00%","12.40%",NA,"109","30","0","0","30","51","0","0","51","8","0","0","8","0","0","0","0","20","9","0","11","0","0",NA,"44",NA,"186",NA,NA,NA
"X147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.70%","18.30%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.50%","0.00%","0.00%","27.50%","46.80%","0.00%","0.00%","46.80%","7.30%","0.00%","0.00%","7.30%","0.00%","0.00%","0.00%","0.00%","18.40%","8.30%","0.00%","10.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Larkfield-Wikiup CDP, California",NA,"9,257",NA,"9,257","1,744.00","5.31",NA,"$70,040",NA,"$82,583",NA,"0.46",NA,"3,721",NA,"3,863","1,949","292","1,430","192","0",NA,"$444,800",NA,"$1,582",NA,"34.30%",NA,"20.70%","23.10%","15.90%",NA,"1,400","152","0","0","152","240","0","0","240","232","9","53","170","332","33","87","212","369","199","144","26","0","75",NA,"23",NA,"2,264",NA,NA,NA
"X149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.50%","7.60%","37.00%","5.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.90%","0.00%","0.00%","10.90%","17.10%","0.00%","0.00%","17.10%","16.60%","0.60%","3.80%","12.10%","23.70%","2.40%","6.20%","15.10%","26.40%","14.20%","10.30%","1.90%","0.00%","5.40%",NA,NA,NA,NA,NA,NA,NA
"Larkspur city, California",NA,"12,268",NA,"12,268","4,053.00","3.03",NA,"$91,848",NA,"$128,750",NA,"0.54",NA,"6,093",NA,"5,445","996","545","3,836","15","53",NA,"$1,117,800",NA,"$1,890",NA,"29.80%",NA,"22.40%","27.60%","13.30%",NA,"3,082","326","43","0","283","204","0","0","204","423","0","14","409","468","0","96","372","1,506","720","607","179","56","99",NA,"30",NA,"2,822",NA,NA,NA
"X151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.30%","10.00%","70.50%","0.30%","1.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.60%","1.40%","0.00%","9.20%","6.60%","0.00%","0.00%","6.60%","13.70%","0.00%","0.50%","13.30%","15.20%","0.00%","3.10%","12.10%","48.90%","23.40%","19.70%","5.80%","1.80%","3.20%",NA,NA,NA,NA,NA,NA,NA
"La Selva Beach CDP, California",NA,"2,633",NA,"2,633","497.1","5.3",NA,"$97,833",NA,"$102,031",NA,"0.43",NA,"1,429",NA,"639","591","23","25","0","0",NA,"$795,100",NA,"$1,954",NA,"25.70%",NA,"22.80%","32.50%","10.30%",NA,"256","20","0","0","20","28","0","0","28","36","0","5","31","12","0","12","0","131","36","95","0","8","21",NA,"33",NA,"808",NA,NA,NA
"X153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.50%","3.60%","3.90%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.80%","0.00%","0.00%","7.80%","10.90%","0.00%","0.00%","10.90%","14.10%","0.00%","2.00%","12.10%","4.70%","0.00%","4.70%","0.00%","51.20%","14.10%","37.10%","0.00%","3.10%","8.20%",NA,NA,NA,NA,NA,NA,NA
"Lexington Hills CDP, California",NA,"2,617",NA,"2,617","558.5","4.69",NA,"$146,726",NA,"$164,773",NA,"0.36",NA,"924",NA,"209","209","0","0","0","0",NA,"$788,500",NA,"$1,137",NA,"21.30%",NA,"20.10%","22.40%","10.40%",NA,"95","10","0","0","10","0","0","0","0","36","0","36","0","0","0","0","0","49","38","0","11","0","0",NA,"36",NA,"782",NA,NA,NA
"X155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.50%","0.00%","0.00%","10.50%","0.00%","0.00%","0.00%","0.00%","37.90%","0.00%","37.90%","0.00%","0.00%","0.00%","0.00%","0.00%","51.60%","40.00%","0.00%","11.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Live Oak CDP, California",NA,"17,749",NA,"17,749","5,473.70","3.24",NA,"$67,257",NA,"$85,306",NA,"0.44",NA,"6,794",NA,"8,066","3,722","1,593","1,998","753","0",NA,"$573,200",NA,"$1,634",NA,"35.60%",NA,"22.80%","26.50%","13.20%",NA,"2,778","619","14","54","551","408","23","47","338","232","28","52","152","526","0","155","371","886","350","411","125","28","79",NA,"21",NA,"3,693",NA,NA,NA
"X157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.10%","19.80%","24.80%","9.30%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.30%","0.50%","1.90%","19.80%","14.70%","0.80%","1.70%","12.20%","8.40%","1.00%","1.90%","5.50%","18.90%","0.00%","5.60%","13.40%","31.90%","12.60%","14.80%","4.50%","1.00%","2.80%",NA,NA,NA,NA,NA,NA,NA
"Livermore city, California",NA,"86,493",NA,"86,493","3,436.00","25.17",NA,"$104,223",NA,"$117,257",NA,"0.4",NA,"31,783",NA,"25,834","12,954","3,143","9,393","79","265",NA,"$595,500",NA,"$1,673",NA,"31.40%",NA,"21.70%","24.10%","10.00%",NA,"9,209","1,060","61","132","867","1,262","23","146","1,093","1,276","78","100","1,098","1,611","112","532","967","3,494","1,589","1,301","604","71","435",NA,"31",NA,"21,512",NA,NA,NA
"X159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.10%","12.20%","36.40%","0.30%","1.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.50%","0.70%","1.40%","9.40%","13.70%","0.30%","1.60%","11.90%","13.90%","0.90%","1.10%","11.90%","17.50%","1.20%","5.80%","10.50%","37.90%","17.30%","14.10%","6.60%","0.80%","4.70%",NA,NA,NA,NA,NA,NA,NA
"Loma Mar CDP, California",NA,"150.00",NA,"150.00"," 86.50","  1.73",NA,NA,NA,NA,NA,"  0.40",NA," 88.00",NA," 96.00","  9.00"," 87.00","  0.00","  0.00","  0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 32.00","  0.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00",NA,NA,NA," 17.00",NA,NA,NA
"X161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.40%","90.60%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","0.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Lompico CDP, California",NA,"902",NA,"902","267.4","3.37",NA,"$71,417",NA,"$91,563",NA,"0.55",NA,"490",NA,"83","75","8","0","0","0",NA,"$357,100",NA,"$1,813",NA,"41.30%",NA,"20.80%","29.10%","14.90%",NA,"46","8","0","0","8","18","0","0","18","0","0","0","0","8","0","0","8","12","0","12","0","0","0",NA,"42",NA,"358",NA,NA,NA
"X163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.40%","9.60%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.40%","0.00%","0.00%","17.40%","39.10%","0.00%","0.00%","39.10%","0.00%","0.00%","0.00%","0.00%","17.40%","0.00%","0.00%","17.40%","26.10%","0.00%","26.10%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Los Altos city, California",NA,"30,238",NA,"30,238","4,661.60","6.49",NA,"$187,656",NA,"$222,769",NA,"0.49",NA,"11,318",NA,"4,635","2,971","257","1,407","0","0",NA,"$2,000,001",NA,"$2,611",NA,"21.60%",NA,"19.50%","23.70%","10.00%",NA,"1,832","104","0","0","104","134","0","0","134","68","0","0","68","56","0","19","37","1,235","745","234","256","85","150",NA,"24",NA,"9,058",NA,NA,NA
"X165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.10%","5.50%","30.40%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.70%","0.00%","0.00%","5.70%","7.30%","0.00%","0.00%","7.30%","3.70%","0.00%","0.00%","3.70%","3.10%","0.00%","1.00%","2.00%","67.40%","40.70%","12.80%","14.00%","4.60%","8.20%",NA,NA,NA,NA,NA,NA,NA
"Los Altos Hills town, California",NA,"8,376",NA,"8,376","951.6","8.8",NA,"$243,701",NA,"$250,001",NA,"0.52",NA,"3,366",NA,"699","699","0","0","0","0",NA,"$2,000,001",NA,"$1,962",NA,"23.50%",NA,"16.60%","22.20%","10.00%",NA,"302","33","0","0","33","59","0","0","59","12","0","0","12","46","32","0","14","126","90","32","4","0","26",NA,"24",NA,"2,795",NA,NA,NA
"X167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.90%","0.00%","0.00%","10.90%","19.50%","0.00%","0.00%","19.50%","4.00%","0.00%","0.00%","4.00%","15.20%","10.60%","0.00%","4.60%","41.70%","29.80%","10.60%","1.30%","0.00%","8.60%",NA,NA,NA,NA,NA,NA,NA
